episode:1, reward: -169.08050581477806, mean reward: -10.51, score: -599.0443372787249, epsilon: 0.8916545718153267, total steps: 297
episode:2, reward: 49999, mean reward: 3570.25, score: 49983.44047829931, epsilon: 0.8912618913143896, total steps: 311
episode:3, reward: 49999, mean reward: 7141.85, score: 49992.93580166829, epsilon: 0.89106561977232, total steps: 318
episode:4, reward: -104.58084605870138, mean reward: -6.78, score: -420.56353324320116, epsilon: 0.8893292123971106, total steps: 380
episode:5, reward: -356.9504471684006, mean reward: -8.12, score: -414.01698425087613, epsilon: 0.8879035648797686, total steps: 431
episode:6, reward: -178.21709222859695, mean reward: 6.66, score: 726.202392923589, epsilon: 0.8848647058642759, total steps: 540
episode:7, reward: 49999, mean reward: 1161.77, score: 49956.31864733738, epsilon: 0.8836689236345241, total steps: 583
episode:8, reward: -384.3290483369901, mean reward: -8.67, score: -442.0032452973543, epsilon: 0.8822528904335941, total steps: 634
episode:9, reward: -128.80788452003537, mean reward: -3.72, score: -208.25130652665342, epsilon: 0.8807008007724826, total steps: 690
episode:10, reward: -1962.8296486649956, mean reward: -39.72, score: -2025.668984067734, epsilon: 0.8792898090939101, total steps: 741
episode:11, reward: -1235.3819519863298, mean reward: -25.41, score: -1296.0935708159484, epsilon: 0.8778812140634629, total steps: 792
episode:12, reward: 49999, mean reward: 8331.77, score: 49990.598742592585, epsilon: 0.8777156543771707, total steps: 798
episode:13, reward: -1400.315346838022, mean reward: -28.66, score: -1461.6942447461654, epsilon: 0.8763097331363768, total steps: 849
episode:14, reward: -365.16079607343175, mean reward: -11.26, score: -607.783348037312, epsilon: 0.8748237134356873, total steps: 903
episode:15, reward: -2660.008602996535, mean reward: -53.4, score: -2723.2546326049073, epsilon: 0.8734227043180063, total steps: 954
episode:16, reward: -1646.1719487165585, mean reward: -33.48, score: -1707.6272447516033, epsilon: 0.8720240748925139, total steps: 1005
episode:17, reward: -4167.0515821262015, mean reward: -83.0, score: -4233.029193565602, epsilon: 0.8706278211171702, total steps: 1056
episode:18, reward: -191.7516407791772, mean reward: -5.99, score: -383.15684160355664, epsilon: 0.8688790144891079, total steps: 1120
episode:19, reward: 49999, mean reward: 2776.8, score: 49982.45129038938, epsilon: 0.8683878344491618, total steps: 1138
episode:20, reward: -132.54031638715423, mean reward: 109.73, score: 9766.177379584844, epsilon: 0.8659635483427212, total steps: 1227
episode:21, reward: -837.7716260040727, mean reward: -17.6, score: -897.5328707722992, epsilon: 0.8645775887100117, total steps: 1278
episode:22, reward: -136.22909489312326, mean reward: -5.79, score: -353.1667204887803, epsilon: 0.8629229637184556, total steps: 1339
episode:23, reward: -4874.388086888789, mean reward: -96.88, score: -4940.7746796474685, epsilon: 0.8615421686884511, total steps: 1390
episode:24, reward: 49999, mean reward: 2776.56, score: 49978.03613835503, epsilon: 0.8610553894356173, total steps: 1408
episode:25, reward: -202.7488459132515, mean reward: -5.73, score: -338.10387180687076, epsilon: 0.8594618812996722, total steps: 1467
episode:26, reward: -230.9222300230556, mean reward: 29.55, score: 2009.4781635373195, epsilon: 0.8576291788828001, total steps: 1535
episode:27, reward: -54936.59756313395, mean reward: -1078.91, score: -55024.54494832526, epsilon: 0.85625737564183, total steps: 1586
episode:28, reward: -17753.39098232004, mean reward: -349.53, score: -17825.835166783145, epsilon: 0.8548879024852369, total steps: 1637
episode:29, reward: -34955.19161537803, mean reward: -687.11, score: -35042.59835854941, epsilon: 0.8535207554552421, total steps: 1688
episode:30, reward: -139713.50207419763, mean reward: -2741.47, score: -139815.00113783823, epsilon: 0.8521559306007896, total steps: 1739
episode:31, reward: -9189.25309374597, mean reward: -181.56, score: -9259.725528316403, epsilon: 0.8507934239775351, total steps: 1790
episode:32, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8507667313082828, total steps: 1791
episode:33, reward: 49999, mean reward: 1850.75, score: 49970.3681553715, epsilon: 0.8500463654633603, total steps: 1818
episode:34, reward: -1144.7899304787713, mean reward: -23.65, score: -1206.1627908457478, epsilon: 0.8486874420542443, total steps: 1869
episode:35, reward: 49999, mean reward: 16665.05, score: 49995.14735488952, epsilon: 0.848607577303343, total steps: 1872
episode:36, reward: 49999, mean reward: 3845.2, score: 49987.54446754169, epsilon: 0.8482615889893937, total steps: 1885
episode:37, reward: -1787.9559522158365, mean reward: -36.27, score: -1849.5285517912664, epsilon: 0.8469056971227423, total steps: 1936
episode:38, reward: -20503.504824230913, mean reward: -403.54, score: -20580.44644283226, epsilon: 0.8455521083141103, total steps: 1987
episode:39, reward: -15123.209726681585, mean reward: -298.0, score: -15197.810064957928, epsilon: 0.844200818651625, total steps: 2038
episode:40, reward: 49999, mean reward: 1723.23, score: 49973.59639424417, epsilon: 0.8434334621423288, total steps: 2067
episode:41, reward: -537.5953119815983, mean reward: -4.48, score: -372.18797257273746, epsilon: 0.8412413300780534, total steps: 2150
episode:42, reward: 49999, mean reward: 3332.46, score: 49986.839357130615, epsilon: 0.8408458083016984, total steps: 2165
episode:43, reward: -1135.1597717255725, mean reward: -23.39, score: -1192.745095943545, epsilon: 0.8395025125524828, total steps: 2216
episode:44, reward: -132.98677850574066, mean reward: -3.7, score: -188.58186055719494, epsilon: 0.8381614984660778, total steps: 2267
episode:45, reward: -201.89746254967287, mean reward: 2.31, score: 173.16629272059356, epsilon: 0.8361935556733736, total steps: 2342
episode:46, reward: -159.13302039890667, mean reward: 73.06, score: 7525.4342264291245, epsilon: 0.8334989195711842, total steps: 2445
episode:47, reward: 49999, mean reward: 4544.84, score: 49993.24071648534, epsilon: 0.8332116892961099, total steps: 2456
episode:48, reward: -103.84215221688504, mean reward: -6.12, score: -379.5973946707426, epsilon: 0.8315947232453372, total steps: 2518
episode:49, reward: 49999, mean reward: 4999.36, score: 49993.63718191546, epsilon: 0.8313342350880268, total steps: 2528
episode:50, reward: 49999, mean reward: 1850.95, score: 49975.6476417251, epsilon: 0.8306313506219022, total steps: 2555
episode:51, reward: 49999, mean reward: 4165.47, score: 49985.67038570791, epsilon: 0.8303191605238355, total steps: 2567
episode:52, reward: 49999, mean reward: 6249.03, score: 49992.20142579893, epsilon: 0.8301111031565778, total steps: 2575
episode:53, reward: -124.75803818343368, mean reward: -3.49, score: -177.87559012197943, epsilon: 0.828786040903246, total steps: 2626
episode:54, reward: 49999, mean reward: 4998.68, score: 49986.827952554384, epsilon: 0.8285264888173626, total steps: 2636
episode:55, reward: -173.36920856524574, mean reward: 24.85, score: 2683.919557507321, epsilon: 0.82572883226089, total steps: 2744
episode:56, reward: -377.01997687627045, mean reward: -8.47, score: -432.0767956195258, epsilon: 0.8244112135392864, total steps: 2795
episode:57, reward: -113.28588849551784, mean reward: 32.46, score: 3895.1922283370777, epsilon: 0.821319755722705, total steps: 2915
episode:58, reward: 49999, mean reward: 2776.66, score: 49979.79040933867, epsilon: 0.8208571026790642, total steps: 2933
episode:59, reward: 49999, mean reward: 12499.04, score: 49996.150600004155, epsilon: 0.8207543285837989, total steps: 2937
episode:60, reward: 49999, mean reward: 5554.34, score: 49989.0775453027, epsilon: 0.8205231369657005, total steps: 2946
episode:61, reward: -462.0162893282272, mean reward: -15.75, score: -913.4208874196966, epsilon: 0.8190348979954635, total steps: 3004
episode:62, reward: -116.29070002015858, mean reward: -16.82, score: -1160.553743180428, epsilon: 0.8172681502688007, total steps: 3073
episode:63, reward: 49999, mean reward: 793.17, score: 49969.60687142773, epsilon: 0.8156585777958507, total steps: 3136
episode:64, reward: 49999, mean reward: 2271.81, score: 49979.87561207606, epsilon: 0.8150973006655684, total steps: 3158
