episode:1, reward: -4.584102590394343, mean reward: -4.19, score: -201.3324027000151, epsilon: 0.898107823494093, total steps: 157
episode:2, reward: -10.75214727365147, mean reward: -7.18, score: -208.23341122973093, epsilon: 0.8977565373100937, total steps: 186
episode:3, reward: -5.54170451022909, mean reward: -5.57, score: -200.52815758824562, epsilon: 0.8973206603260229, total steps: 222
episode:4, reward: -5.139875299187174, mean reward: -5.59, score: -201.38501630053588, epsilon: 0.8968850074496256, total steps: 258
episode:5, reward: -4.575259184077005, mean reward: -1.92, score: -203.08838743543336, epsilon: 0.89560355207086, total steps: 364
episode:6, reward: -6.0723006943299715, mean reward: -2.42, score: -202.9844293158257, epsilon: 0.8945894363994716, total steps: 448
episode:7, reward: -6.844332316257932, mean reward: -6.67, score: -200.24351336062784, epsilon: 0.8942275470514142, total steps: 478
episode:8, reward: -4.87659414597705, mean reward: -1.27, score: -202.17950237663456, epsilon: 0.8923121206808823, total steps: 637
episode:9, reward: -5.013623932829929, mean reward: -5.23, score: -203.82057304804619, epsilon: 0.8918429632053642, total steps: 676
episode:10, reward: -8.628863033244398, mean reward: -8.39, score: -201.42195803947934, epsilon: 0.8915543808063604, total steps: 700
episode:11, reward: -42.4499257451095, mean reward: -3.27, score: -238.9470267067719, epsilon: 0.8906772172668619, total steps: 773
episode:12, reward: -0.5502220824631694, mean reward: -1.21, score: -199.62366053943776, epsilon: 0.8886979545878803, total steps: 938
episode:13, reward: -9.791881423781373, mean reward: -3.87, score: -208.84101265726127, epsilon: 0.8880512085141857, total steps: 992
episode:14, reward: -49.88383331980333, mean reward: -2.48, score: -242.8353807172575, epsilon: 0.8868787577293156, total steps: 1090
episode:15, reward: -4.448600930183224, mean reward: -5.02, score: -200.98602732616536, epsilon: 0.8864006779035722, total steps: 1130
episode:16, reward: -135.29327278168955, mean reward: -4.96, score: -193.2499253258571, epsilon: 0.8859348130288632, total steps: 1169
episode:17, reward: -6.600116155167136, mean reward: -6.97, score: -201.99758538332622, epsilon: 0.8855885689047006, total steps: 1198
episode:18, reward: -10.964402987941579, mean reward: -7.49, score: -202.17909667538606, epsilon: 0.8852663326062614, total steps: 1225
episode:19, reward: -5.27174770118607, mean reward: -5.18, score: -201.87223266638236, epsilon: 0.88480109954791, total steps: 1264
episode:20, reward: 1.3789616921328802, mean reward: -1.5, score: -198.51833602803777, epsilon: 0.8832283864985313, total steps: 1396
episode:21, reward: -3.6797742985826525, mean reward: -2.69, score: -201.94219134146027, epsilon: 0.8823361198840407, total steps: 1471
episode:22, reward: -7.687662005970553, mean reward: -7.54, score: -203.44601799923737, epsilon: 0.8820151378597411, total steps: 1498
episode:23, reward: -7.993234530863921, mean reward: -7.55, score: -203.9398966899334, epsilon: 0.8816942796189196, total steps: 1525
episode:24, reward: -1.5707106898927115, mean reward: -1.37, score: -201.47540410547424, epsilon: 0.8799495542345599, total steps: 1672
episode:25, reward: -5.668817268202834, mean reward: -4.48, score: -201.44969909294917, epsilon: 0.8794161866933445, total steps: 1717
episode:26, reward: -12.930687555530898, mean reward: -9.22, score: -202.83432901718496, epsilon: 0.8791555539933819, total steps: 1739
episode:27, reward: -11.71716915270538, mean reward: -8.31, score: -207.7044757383698, epsilon: 0.8788594798833367, total steps: 1764
episode:28, reward: -2.575538149252713, mean reward: -5.43, score: -201.0302602346216, epsilon: 0.8784214842101666, total steps: 1801
episode:29, reward: -10.916984399217336, mean reward: -11.08, score: -210.5710029555672, epsilon: 0.8781966574637484, total steps: 1820
episode:30, reward: -100.33604794928884, mean reward: -4.12, score: -127.71717325346074, epsilon: 0.8778299658602912, total steps: 1851
episode:31, reward: -5.502329455925438, mean reward: -5.26, score: -200.06846965867322, epsilon: 0.8773806944063947, total steps: 1889
episode:32, reward: -5.360930764549414, mean reward: -6.13, score: -202.16367270177304, epsilon: 0.876990735433726, total steps: 1922
episode:33, reward: -7.869747506216054, mean reward: -1.8, score: -206.84183423254248, epsilon: 0.8756332232016004, total steps: 2037
episode:34, reward: -1.0589611264795238, mean reward: -0.94, score: -199.65492025394335, epsilon: 0.8731247576376663, total steps: 2250
episode:35, reward: -4.309802240138607, mean reward: -2.2, score: -202.43436582008525, epsilon: 0.872043647127299, total steps: 2342
episode:36, reward: -7.899451120887515, mean reward: -5.31, score: -207.09499537955296, epsilon: 0.8715857789418806, total steps: 2381
episode:37, reward: -11.054355149412544, mean reward: -8.01, score: -200.18197187901933, epsilon: 0.8712924078402164, total steps: 2406
episode:38, reward: -7.518316596126648, mean reward: -4.47, score: -205.43558488154042, epsilon: 0.8707528786940566, total steps: 2452
episode:39, reward: -11.405389390118009, mean reward: -11.37, score: -204.5734189499471, epsilon: 0.8705418550865905, total steps: 2470
episode:40, reward: -99.88393456219487, mean reward: -3.05, score: -173.6302338567144, epsilon: 0.8698739715369406, total steps: 2527
episode:41, reward: -7.72149533599627, mean reward: -4.68, score: -205.83766082153747, epsilon: 0.8693587841164122, total steps: 2571
