episode:1, reward: -43.83968018243415, mean reward: -2.04, score: -236.8429822564712, epsilon: 0.8974901414056311, total steps: 208
episode:2, reward: -9.76480151661473, mean reward: -11.63, score: -209.2773835659877, epsilon: 0.89727224338593, total steps: 226
episode:3, reward: -40.70551063298715, mean reward: -1.4, score: -238.35523759744174, epsilon: 0.8952170787905364, total steps: 396
episode:4, reward: -9.854229317522678, mean reward: -9.24, score: -203.31053154255764, epsilon: 0.8949514808762035, total steps: 418
episode:5, reward: -3.4317505064577487, mean reward: -1.62, score: -202.47061276770614, epsilon: 0.893443985324827, total steps: 543
episode:6, reward: -5.257291695086356, mean reward: -2.64, score: -200.86134366321716, epsilon: 0.8925287430764575, total steps: 619
episode:7, reward: -6.146418851733349, mean reward: -3.78, score: -204.19550841424297, epsilon: 0.8918790429626337, total steps: 673
episode:8, reward: -3.1796101366182055, mean reward: -3.78, score: -200.16626972905883, epsilon: 0.8912418615078094, total steps: 726
episode:9, reward: -5.126366123920387, mean reward: -1.12, score: -201.18746989821176, epsilon: 0.8890934339792896, total steps: 905
episode:10, reward: -4.2094589208228825, mean reward: -3.8, score: -201.63921253420705, epsilon: 0.8884583608301648, total steps: 958
episode:11, reward: -10.802981084101795, mean reward: -11.15, score: -200.6388671350752, epsilon: 0.8882427849697498, total steps: 976
episode:12, reward: -7.1886979741517, mean reward: -6.69, score: -200.57849708638992, epsilon: 0.8878836150323897, total steps: 1006
episode:13, reward: -10.03806105456426, mean reward: -9.49, score: -208.70661918207855, epsilon: 0.8876203215588069, total steps: 1028
episode:14, reward: -12.040387869548672, mean reward: -8.72, score: -200.6038106506835, epsilon: 0.8873451486626033, total steps: 1051
episode:15, reward: -4.843305043177605, mean reward: -1.69, score: -202.746230755018, epsilon: 0.885910929518257, total steps: 1171
episode:16, reward: -10.838782856913562, mean reward: -11.25, score: -202.43722742726447, epsilon: 0.885696008627394, total steps: 1189
episode:17, reward: -11.501439413731653, mean reward: -6.82, score: -211.4544994913486, epsilon: 0.8853259966179942, total steps: 1220
episode:18, reward: -42.4665963248504, mean reward: -2.02, score: -240.47721823298, epsilon: 0.8839071487861064, total steps: 1339
episode:19, reward: -7.191126935047594, mean reward: -7.21, score: -201.77101593268165, epsilon: 0.8835736526302698, total steps: 1367
episode:20, reward: -10.79016272128541, mean reward: -7.51, score: -210.37737438971675, epsilon: 0.8832402898462194, total steps: 1395
episode:21, reward: -5.060013419375491, mean reward: -1.86, score: -202.34002230233207, epsilon: 0.8819438253327907, total steps: 1504
episode:22, reward: -136.6551137772572, mean reward: -4.48, score: -228.276613131425, epsilon: 0.8813379155825452, total steps: 1555
episode:23, reward: -10.290409813691024, mean reward: -10.67, score: -202.71439659398774, epsilon: 0.881112297340748, total steps: 1574
episode:24, reward: -7.8205232188424745, mean reward: -8.16, score: -204.10913777570062, epsilon: 0.8808155245185704, total steps: 1599
episode:25, reward: -134.75685386590936, mean reward: -3.1, score: -242.1227784455934, epsilon: 0.8798902742407111, total steps: 1677
episode:26, reward: -11.772689527578677, mean reward: -11.82, score: -200.88787883237026, epsilon: 0.8796887539311378, total steps: 1694
episode:27, reward: -37.341005960358984, mean reward: -1.55, score: -235.05826639849943, epsilon: 0.8778890986839997, total steps: 1846
episode:28, reward: -7.349572211013084, mean reward: -4.31, score: -202.51608048121997, epsilon: 0.8773334168603715, total steps: 1893
episode:29, reward: -101.76697886621596, mean reward: -10.66, score: -202.4585668928369, epsilon: 0.8771088854064423, total steps: 1912
episode:30, reward: -10.740185469757005, mean reward: -11.2, score: -201.6108791535473, epsilon: 0.8768962276073694, total steps: 1930
episode:31, reward: -3.7034881349161113, mean reward: -1.35, score: -203.04124044730824, epsilon: 0.8751262042505408, total steps: 2080
episode:32, reward: -2.303093596900277, mean reward: -1.18, score: -201.25363842341687, epsilon: 0.8731247576376663, total steps: 2250
episode:33, reward: 0.5850858247534848, mean reward: -1.04, score: -199.38505565244475, epsilon: 0.8708818642807392, total steps: 2441
episode:34, reward: -11.522256755783854, mean reward: -8.16, score: -204.11877380971515, epsilon: 0.8705887445322811, total steps: 2466
episode:35, reward: -2.4956443877092456, mean reward: -1.33, score: -198.90988999179893, epsilon: 0.8688439204262222, total steps: 2615
episode:36, reward: -8.328078417181283, mean reward: -4.78, score: -200.68412132764217, epsilon: 0.8683527614363982, total steps: 2657
episode:37, reward: -10.278720734400435, mean reward: -6.43, score: -205.73345180481107, epsilon: 0.8679787428133688, total steps: 2689
episode:38, reward: -6.173289263044923, mean reward: -6.69, score: -200.58663016111936, epsilon: 0.8676282556047867, total steps: 2719
episode:39, reward: -98.94757567538906, mean reward: -3.19, score: -146.9589527725215, epsilon: 0.8670911335391114, total steps: 2765
episode:40, reward: -5.4694005847659675, mean reward: -6.07, score: -200.33640726185925, epsilon: 0.8667060242162015, total steps: 2798
episode:41, reward: -7.504265964378597, mean reward: -1.09, score: -203.24115095149273, epsilon: 0.8645271640391093, total steps: 2985
episode:42, reward: -4.735422063618118, mean reward: -1.41, score: -203.07031460109317, epsilon: 0.8628532875934419, total steps: 3129
episode:43, reward: -10.97475503717173, mean reward: -10.87, score: -206.55505183346085, epsilon: 0.8626326859269614, total steps: 3148
episode:44, reward: -17.802631319473626, mean reward: -2.09, score: -209.3645439470941, epsilon: 0.861472610912225, total steps: 3248
episode:45, reward: -10.79268484619657, mean reward: -9.82, score: -206.1945902045982, epsilon: 0.8612292056415676, total steps: 3269
episode:46, reward: -8.74452372789757, mean reward: -6.03, score: -205.0956892564749, epsilon: 0.8608352757038426, total steps: 3303
episode:47, reward: -8.049025123948947, mean reward: -4.83, score: -207.7322845004717, epsilon: 0.8603373441291231, total steps: 3346
episode:48, reward: -100, mean reward: -4.03, score: -177.45044101627605, epsilon: 0.8598281492765323, total steps: 3390
episode:49, reward: -7.741941139355088, mean reward: -7.6, score: -205.1752767050192, epsilon: 0.8595158472239364, total steps: 3417
episode:50, reward: -3.73678364717225, mean reward: -3.88, score: -201.85214154539815, epsilon: 0.8589147158995628, total steps: 3469
episode:51, reward: -2.741845543612821, mean reward: -2.41, score: -202.13728363015096, epsilon: 0.8579446004261813, total steps: 3553
episode:52, reward: -8.725221615829406, mean reward: -8.53, score: -204.71182330449727, epsilon: 0.8576676383308217, total steps: 3577
episode:53, reward: -4.831699754437449, mean reward: -1.65, score: -201.71868797401925, epsilon: 0.8562612149718077, total steps: 3699
episode:54, reward: -11.74557681227736, mean reward: -7.84, score: -203.9442284067429, epsilon: 0.8559618021292169, total steps: 3725
episode:55, reward: -40.047464201519674, mean reward: -1.14, score: -239.58099248957, epsilon: 0.8535475399268293, total steps: 3935
episode:56, reward: -3.5325770084762427, mean reward: -1.28, score: -200.56489804004735, epsilon: 0.8517473171631758, total steps: 4092
episode:57, reward: -9.494434901214257, mean reward: -6.17, score: -203.4785662744681, epsilon: 0.8513694396489255, total steps: 4125
episode:58, reward: -5.960202098507526, mean reward: -6.79, score: -203.81362135994343, epsilon: 0.8510260691880019, total steps: 4155
episode:59, reward: -5.682616008390696, mean reward: -3.56, score: -202.7200993316925, epsilon: 0.8503740705956877, total steps: 4212
episode:60, reward: -5.27396416577852, mean reward: -5.62, score: -202.25125086128187, epsilon: 0.8499625554723403, total steps: 4248
episode:61, reward: -36.310250102851256, mean reward: -1.02, score: -233.6316881223999, epsilon: 0.8473612019386508, total steps: 4476
