episode:7520, reward: -100, mean reward: 8.36, score: 835.6840581809425, epsilon: 0.0500003489447409, total steps: 441176
episode:7521, reward: -11.61318951633375, mean reward: -10.95, score: -208.0200674752655, epsilon: 0.05000034872381253, total steps: 441195
episode:7522, reward: -26.23284808182577, mean reward: -7.1, score: -205.85500860054148, epsilon: 0.05000034838687572, total steps: 441224
episode:7523, reward: -29.47260160055801, mean reward: -17.61, score: -211.3656279857788, epsilon: 0.050000348247548836, total steps: 441236
episode:7524, reward: -43.21482877446968, mean reward: -20.69, score: -206.87117739258463, epsilon: 0.05000034813148567, total steps: 441246
episode:7525, reward: -35.234520364796786, mean reward: -19.18, score: -210.95680228626068, epsilon: 0.050000348003860856, total steps: 441257
episode:7526, reward: -12.271588347451068, mean reward: -3.03, score: -206.20307009669085, epsilon: 0.050000347215945415, total steps: 441325
episode:7527, reward: -10.356475021000774, mean reward: -5.68, score: -204.3621095065856, epsilon: 0.050000346799536174, total steps: 441361
episode:7528, reward: -16.499179074311797, mean reward: -14.98, score: -209.75560386347928, epsilon: 0.050000346637734144, total steps: 441375
episode:7529, reward: -10.648272920621855, mean reward: -6.19, score: -210.51798329342768, epsilon: 0.05000034624510058, total steps: 441409
episode:7530, reward: -16.578509930976484, mean reward: -0.67, score: -211.847535578236, epsilon: 0.05000034259428602, total steps: 441727
episode:7531, reward: -11.516961944409061, mean reward: -10.03, score: -200.51920551548432, epsilon: 0.05000034236596594, total steps: 441747
episode:7532, reward: -100, mean reward: -8.81, score: -299.5598100459381, epsilon: 0.05000034197817097, total steps: 441781
episode:7533, reward: -100, mean reward: -2.99, score: -250.85743772215028, epsilon: 0.050000341021971394, total steps: 441865
episode:7534, reward: -14.794135506330926, mean reward: -16.13, score: -209.73354123882262, epsilon: 0.05000034087422722, total steps: 441878
episode:7535, reward: -14.243938952425925, mean reward: -9.61, score: -211.4832751391488, epsilon: 0.05000034062434443, total steps: 441900
episode:7536, reward: -11.345639889685685, mean reward: -2.76, score: -201.82248014592645, epsilon: 0.050000339796499475, total steps: 441973
episode:7537, reward: -13.666690466955645, mean reward: -10.86, score: -206.43198281898842, epsilon: 0.05000033958136316, total steps: 441992
episode:7538, reward: -11.683049789302464, mean reward: -5.22, score: -203.60730824716842, epsilon: 0.05000033914019421, total steps: 442031
episode:7539, reward: -14.991931088127078, mean reward: -2.79, score: -200.54467841508892, epsilon: 0.05000033832723368, total steps: 442103
episode:7540, reward: -15.483972311309511, mean reward: -11.21, score: -213.0061756919214, epsilon: 0.050000338113027606, total steps: 442122
episode:7541, reward: -18.34772756127101, mean reward: -15.16, score: -212.2435801802202, epsilon: 0.05000033795527834, total steps: 442136
episode:7542, reward: -11.07007488774823, mean reward: -5.66, score: -203.72420536738443, epsilon: 0.05000033754997524, total steps: 442172
episode:7543, reward: -6.2734206719271155, mean reward: -5.52, score: -204.22524695105514, epsilon: 0.05000033713392022, total steps: 442209
episode:7544, reward: -18.520097892365477, mean reward: -11.93, score: -214.70983326707872, epsilon: 0.05000033693170054, total steps: 442227
episode:7545, reward: -10.316801530443312, mean reward: -5.18, score: -207.05423007795662, epsilon: 0.05000033648275763, total steps: 442267
episode:7546, reward: -22.01110045345507, mean reward: -5.52, score: -220.98605283504483, epsilon: 0.05000033603441292, total steps: 442307
episode:7547, reward: -10.356151417208183, mean reward: -5.64, score: -208.60023026132137, epsilon: 0.05000033562022595, total steps: 442344
episode:7548, reward: -13.800903021050646, mean reward: -9.74, score: -204.50596884818347, epsilon: 0.050000335385373997, total steps: 442365
episode:7549, reward: -14.312146773501423, mean reward: -9.2, score: -202.50742638282694, epsilon: 0.05000033513951488, total steps: 442387
episode:7550, reward: -11.324936518337545, mean reward: -5.71, score: -200.0222526326708, epsilon: 0.05000033474874677, total steps: 442422
episode:7551, reward: -12.568301168921558, mean reward: -4.96, score: -208.45587338642687, epsilon: 0.050000334280426426, total steps: 442464
episode:7552, reward: -13.880658374297157, mean reward: -11.24, score: -213.6167469046944, epsilon: 0.050000334068782515, total steps: 442483
episode:7553, reward: -16.885008042678805, mean reward: -0.71, score: -215.90457630517977, epsilon: 0.050000330711669774, total steps: 442786
episode:7554, reward: -12.996037045445563, mean reward: -6.25, score: -206.18897161286543, epsilon: 0.050000330348086944, total steps: 442819
episode:7555, reward: -17.44244248941714, mean reward: -15.52, score: -217.24864004922793, epsilon: 0.05000033019396047, total steps: 442833
episode:7556, reward: -12.065926568570983, mean reward: -5.27, score: -200.2606522384877, epsilon: 0.05000032977597956, total steps: 442871
episode:7557, reward: -19.23520876289777, mean reward: -16.93, score: -203.1656325264093, epsilon: 0.05000032964409555, total steps: 442883
episode:7558, reward: -15.230562279988906, mean reward: -8.08, score: -202.0842506356482, epsilon: 0.05000032936950656, total steps: 442908
episode:7559, reward: -10.738556376327699, mean reward: -5.59, score: -201.40012796778657, epsilon: 0.050000328974500206, total steps: 442944
episode:7560, reward: -12.245802161566136, mean reward: -5.29, score: -206.12391801066218, epsilon: 0.05000032854711122, total steps: 442983
episode:7561, reward: -100, mean reward: -0.1, score: -3.2381514412436445, epsilon: 0.050000328174968744, total steps: 443017
episode:7562, reward: -11.221081097621463, mean reward: -2.67, score: -208.4620762666007, epsilon: 0.0500003273228221, total steps: 443095
episode:7563, reward: -18.4477261825996, mean reward: -17.4, score: -208.83587205054621, epsilon: 0.05000032719191915, total steps: 443107
episode:7564, reward: -100, mean reward: -1.54, score: -79.95761763029691, epsilon: 0.05000032662527772, total steps: 443159
episode:7565, reward: -12.530770644808683, mean reward: -5.74, score: -206.72135394250483, epsilon: 0.050000326233562466, total steps: 443195
