episode:1, reward: -43.44682349712445, mean reward: -2.05, score: -237.88424261379393, epsilon: 0.8974901414056311, total steps: 208
episode:2, reward: -9.892732454959527, mean reward: -11.63, score: -209.26492303404854, epsilon: 0.89727224338593, total steps: 226
episode:3, reward: -49.668403654437824, mean reward: -1.7, score: -243.70946797092802, epsilon: 0.8955431539742411, total steps: 369
episode:4, reward: -7.358006650237505, mean reward: -4.21, score: -206.29852681885754, epsilon: 0.8949514808762035, total steps: 418
episode:5, reward: -11.270315186734747, mean reward: -11.27, score: -202.89184248193828, epsilon: 0.8947342355710002, total steps: 436
episode:6, reward: 3.9291785419081484, mean reward: -0.93, score: -195.1675877193791, epsilon: 0.8922158619391231, total steps: 645
episode:7, reward: -3.2226892749616733, mean reward: -3.96, score: -202.15673204948152, epsilon: 0.8916024710021133, total steps: 696
episode:8, reward: -5.280512044525564, mean reward: -3.42, score: -201.63585359165927, epsilon: 0.8908934192046455, total steps: 755
episode:9, reward: -10.519914590043797, mean reward: -1.45, score: -202.562089475231, epsilon: 0.8892133130324437, total steps: 895
episode:10, reward: -7.684178689336167, mean reward: -7.42, score: -200.3055587669177, epsilon: 0.8888896788880143, total steps: 922
episode:11, reward: -4.944526871557196, mean reward: -4.58, score: -201.30370852318117, epsilon: 0.8883625424929363, total steps: 966
episode:12, reward: -6.5740249769300405, mean reward: -6.75, score: -202.38544323379895, epsilon: 0.8880033212419199, total steps: 996
episode:13, reward: -9.574323262160158, mean reward: -5.3, score: -206.75674694837588, epsilon: 0.8875365637146131, total steps: 1035
episode:14, reward: -2.3346974564352916, mean reward: -1.87, score: -202.1217591170165, epsilon: 0.8862453607718559, total steps: 1143
episode:15, reward: -3.464279147901326, mean reward: -1.26, score: -203.37986810726434, epsilon: 0.8843242066162684, total steps: 1304
episode:16, reward: -11.605545949281908, mean reward: -1.73, score: -211.1306169973453, epsilon: 0.8828713651286473, total steps: 1426
episode:17, reward: -3.3080029873417383, mean reward: -1.03, score: -199.63709353670203, epsilon: 0.8805663172441751, total steps: 1620
episode:18, reward: -10.796658751491796, mean reward: -7.21, score: -201.95126641230456, epsilon: 0.8802341571537243, total steps: 1648
episode:19, reward: -8.42247911180899, mean reward: -8.43, score: -202.31178852472092, epsilon: 0.8799495542345599, total steps: 1672
episode:10, reward: -2.3746088276359565, mean reward: -1.17, score: -201.70364424772686, epsilon: 0.8853617970707105, total steps: 1217
episode:11, reward: -9.309630919848832, mean reward: -5.69, score: -204.93546381408373, epsilon: 0.8849322928856169, total steps: 1253
episode:12, reward: -4.909191057079293, mean reward: -3.71, score: -203.95683151712504, epsilon: 0.8842765323094549, total steps: 1308
episode:13, reward: -7.485323306872949, mean reward: -7.76, score: -201.87799379109597, epsilon: 0.8839667157098131, total steps: 1334
episode:14, reward: -8.475758723316876, mean reward: -5.2, score: -207.81045933597758, epsilon: 0.883490299432736, total steps: 1374
episode:15, reward: -2.978296850711646, mean reward: -3.87, score: -201.32307089182817, epsilon: 0.8828713651286473, total steps: 1426
episode:16, reward: -2.102053462046304, mean reward: -1.9, score: -201.43173538305393, epsilon: 0.8816111143492904, total steps: 1532
episode:17, reward: -14.227812617141101, mean reward: -10.57, score: -200.7727251479008, epsilon: 0.881385421963605, total steps: 1551
episode:18, reward: -11.04771811543261, mean reward: -7.09, score: -205.63336619043122, epsilon: 0.8810410621968114, total steps: 1580
episode:19, reward: -7.316868121606623, mean reward: -4.44, score: -204.3070072703358, epsilon: 0.8804951288965269, total steps: 1626
episode:20, reward: -100, mean reward: -6.85, score: -232.90337516400737, epsilon: 0.8800918434968742, total steps: 1660
episode:21, reward: -13.759071632682451, mean reward: -9.3, score: -204.55050799431675, epsilon: 0.8798309984809962, total steps: 1682
episode:22, reward: -10.603031610952439, mean reward: -2.09, score: -206.98683839876162, epsilon: 0.8786582098791405, total steps: 1781
episode:23, reward: -6.991968706767502, mean reward: -4.89, score: -205.31489451414384, epsilon: 0.8781611640818636, total steps: 1823
episode:24, reward: -9.324325650798261, mean reward: -5.88, score: -200.0538611117609, epsilon: 0.8777590120469957, total steps: 1857
episode:25, reward: -6.521308160645767, mean reward: -7.15, score: -200.29957574487403, epsilon: 0.8774279746540693, total steps: 1885
episode:26, reward: -3.5709660844078566, mean reward: -3.75, score: -202.73798610779306, epsilon: 0.8767899192123632, total steps: 1939
episode:27, reward: -6.132219993428895, mean reward: -9.8, score: -205.86602281642362, epsilon: 0.8765419194384255, total steps: 1960
episode:28, reward: -8.806824595655694, mean reward: -8.24, score: -206.05155509256193, epsilon: 0.8762467786026268, total steps: 1985
episode:29, reward: -6.394743416380383, mean reward: -2.35, score: -202.25573488301836, epsilon: 0.8752322987255858, total steps: 2071
episode:30, reward: -9.026386604930893, mean reward: -5.43, score: -206.31299423426526, epsilon: 0.8747844370511593, total steps: 2109
episode:31, reward: -6.99484974409259, mean reward: -7.63, score: -206.09497614423876, epsilon: 0.8744663672571289, total steps: 2136
episode:32, reward: -7.217028381064727, mean reward: -7.63, score: -205.99745269576152, epsilon: 0.8741484201235046, total steps: 2163
episode:33, reward: -5.239876362900045, mean reward: -1.21, score: -200.80282216062366, epsilon: 0.8721963265529875, total steps: 2329
episode:34, reward: -5.826767009805079, mean reward: -5.9, score: -200.50215522167062, epsilon: 0.871797071021426, total steps: 2363
episode:35, reward: -13.493672811088691, mean reward: -9.35, score: -205.7435191728041, epsilon: 0.871538832524423, total steps: 2385
episode:36, reward: -10.263422743144714, mean reward: -10.54, score: -200.21398308053801, epsilon: 0.8713158736728079, total steps: 2404
episode:37, reward: -9.588198932677011, mean reward: -6.58, score: -203.97028630202595, epsilon: 0.8709522285989625, total steps: 2435
episode:38, reward: -8.176304192207072, mean reward: -8.4, score: -201.60091766676243, epsilon: 0.8706708075098148, total steps: 2459
episode:39, reward: -1.8780881863202847, mean reward: -3.77, score: -200.05183433483413, epsilon: 0.8700496776415374, total steps: 2512
episode:40, reward: -5.352278965020087, mean reward: -4.84, score: -203.30907365868273, epsilon: 0.869557795414377, total steps: 2554
episode:41, reward: -2.4323812882429614, mean reward: -3.1, score: -201.3028161711575, epsilon: 0.8687971306819176, total steps: 2619
episode:42, reward: -2.051712036476858, mean reward: -1.49, score: -201.31123337286178, epsilon: 0.8672195436634845, total steps: 2754
