episode:1, reward: -43.74507649181792, mean reward: -4.88, score: -209.91932451359605, epsilon: 0.8963810592303741, total steps: 129
episode:2, reward: -53.27463042110603, mean reward: -2.61, score: -203.86559242045567, epsilon: 0.8941833267666337, total steps: 207
episode:3, reward: -425.904677596905, mean reward: -425.9, score: -425.904677596905, epsilon: 0.8941551877913938, total steps: 208
episode:4, reward: -43.55714552630619, mean reward: -3.54, score: -226.79851219547504, epsilon: 0.8923562429475387, total steps: 272
episode:5, reward: -5.250371680921906, mean reward: -3.07, score: -202.86872094195107, epsilon: 0.8905050962210823, total steps: 338
episode:6, reward: -33.56971195024744, mean reward: -4.93, score: -221.91733911019165, epsilon: 0.8892452836723771, total steps: 383
episode:7, reward: -49.739516511311834, mean reward: -1.44, score: -244.19003192411907, epsilon: 0.8845308267622023, total steps: 552
episode:8, reward: -15.710999910704555, mean reward: -7.89, score: -205.2264654138828, epsilon: 0.8838078800345082, total steps: 578
episode:9, reward: -100, mean reward: -1.97, score: -94.49786888674821, epsilon: 0.8824748541315541, total steps: 626
episode:10, reward: -54.987510429969845, mean reward: -2.87, score: -235.1347814321373, epsilon: 0.8802025297882625, total steps: 708
episode:11, reward: -336.61002255737475, mean reward: -336.61, score: -336.61002255737475, epsilon: 0.8801748568318215, total steps: 709
episode:12, reward: -9.305168233928894, mean reward: -4.93, score: -202.24838401961284, epsilon: 0.8790410594654917, total steps: 750
episode:13, reward: -26.843770011261114, mean reward: -3.64, score: -200.2894142799215, epsilon: 0.8775225432549898, total steps: 805
episode:14, reward: -42.4087800724322, mean reward: -2.35, score: -239.94948721636626, epsilon: 0.874713744272003, total steps: 907
episode:15, reward: -336.5580252277327, mean reward: -336.56, score: -336.5580252277327, epsilon: 0.8746862542720298, total steps: 908
episode:16, reward: -25.089306747874815, mean reward: -3.93, score: -204.40697011046936, epsilon: 0.8732580362444989, total steps: 960
episode:17, reward: -22.18825114753941, mean reward: -4.93, score: -207.04026529627635, epsilon: 0.8721062814102606, total steps: 1002
episode:18, reward: -23.575605398312195, mean reward: -4.19, score: -201.19683676059188, epsilon: 0.8707919630950443, total steps: 1050
episode:19, reward: -7.25353966602458, mean reward: -5.2, score: -202.898562379085, epsilon: 0.8697256268117806, total steps: 1089
episode:20, reward: -21.51766001787057, mean reward: -6.38, score: -210.7029616806774, epsilon: 0.8688244243744992, total steps: 1122
episode:21, reward: -22.511907310290457, mean reward: -1.29, score: -209.65887448948416, epsilon: 0.8644146894827354, total steps: 1284
episode:22, reward: -4.9514699742068835, mean reward: -4.61, score: -203.00915718185342, epsilon: 0.8632210901249867, total steps: 1328
episode:23, reward: -20.995703834825864, mean reward: -1.53, score: -201.5493306218336, epsilon: 0.8596507777757072, total steps: 1460
episode:24, reward: -417.4247386702429, mean reward: -417.42, score: -417.4247386702429, epsilon: 0.8596237898662491, total steps: 1461
episode:25, reward: -18.668980844862155, mean reward: -2.16, score: -200.74241519474037, epsilon: 0.8571178423431705, total steps: 1554
episode:26, reward: -100, mean reward: -5.14, score: -87.42268979138802, epsilon: 0.8566606051286221, total steps: 1571
episode:27, reward: -5.256948790849698, mean reward: -2.82, score: -200.21081190709924, epsilon: 0.8547537656798669, total steps: 1642
