episode:370, reward: -12.224182563679491, mean reward: -12.47, score: -212.06665307927318, epsilon: 0.6237361850942094, total steps: 11793
episode:371, reward: -8.193844555988388, mean reward: -9.85, score: -206.77909987182304, epsilon: 0.6233347102972159, total steps: 11814
episode:372, reward: -3.445463503222001, mean reward: -3.34, score: -200.21737561430047, epsilon: 0.6221891867819779, total steps: 11874
episode:373, reward: -17.84001453169858, mean reward: -17.86, score: -214.36755169415622, epsilon: 0.6219603568762972, total steps: 11886
episode:374, reward: -7.957877646363494, mean reward: -8.71, score: -200.43911461799817, epsilon: 0.6215220219858704, total steps: 11909
episode:375, reward: -5.720524142584612, mean reward: -6.83, score: -204.78565343174833, epsilon: 0.6209507856296657, total steps: 11939
episode:376, reward: -5.844315637041284, mean reward: -2.9, score: -202.9160464805032, epsilon: 0.6196201201766194, total steps: 12009
episode:377, reward: -9.56775928291147, mean reward: -6.5, score: -201.37838287688885, epsilon: 0.6190318167282334, total steps: 12040
episode:378, reward: -100, mean reward: -15.02, score: -210.24119760039346, epsilon: 0.6187663304986984, total steps: 12054
episode:379, reward: -6.932096861738494, mean reward: -3.58, score: -200.23022774931258, epsilon: 0.6177056236494913, total steps: 12110
episode:380, reward: -6.147631317704304, mean reward: -2.9, score: -205.97023685872753, epsilon: 0.6163636423111535, total steps: 12181
episode:381, reward: -12.201477573723466, mean reward: -11.99, score: -203.84953795200335, epsilon: 0.6160427938294992, total steps: 12198
episode:382, reward: -6.188442860345562, mean reward: -4.5, score: -202.71714506031466, epsilon: 0.6151943661186183, total steps: 12243
episode:383, reward: -7.731416624211134, mean reward: -8.99, score: -206.83646829245183, epsilon: 0.614761216499831, total steps: 12266
episode:384, reward: -10.324723786662757, mean reward: -11.12, score: -200.20386391588326, epsilon: 0.6144224614066216, total steps: 12284
episode:385, reward: -6.255004408929848, mean reward: -7.73, score: -200.97638049633423, epsilon: 0.6139335071841705, total steps: 12310
episode:386, reward: -16.46496874068015, mean reward: -14.17, score: -212.51286291942773, epsilon: 0.6136516109105197, total steps: 12325
episode:387, reward: -15.899460272675489, mean reward: -15.56, score: -202.2801023080711, epsilon: 0.6134074147921054, total steps: 12338
episode:388, reward: -12.681442872423155, mean reward: -12.37, score: -210.28146050181851, epsilon: 0.6130882410314962, total steps: 12355
episode:389, reward: -2.5989603371383767, mean reward: -2.15, score: -200.3747375891509, epsilon: 0.6113453703296351, total steps: 12448
episode:390, reward: -14.439653060086146, mean reward: -12.25, score: -208.27374181443398, epsilon: 0.611027364729878, total steps: 12465
episode:391, reward: -8.55911734717822, mean reward: -6.49, score: -201.04037343825303, epsilon: 0.6104479358761232, total steps: 12496
episode:392, reward: -15.9146086985524, mean reward: -17.01, score: -204.09339629687116, epsilon: 0.6102238015316301, total steps: 12508
episode:393, reward: -13.188524180722242, mean reward: -12.97, score: -207.51255134892043, epsilon: 0.6099250951662578, total steps: 12524
episode:394, reward: -1.3539651016114589, mean reward: -2.13, score: -200.3241325731217, epsilon: 0.6081734089429586, total steps: 12618
episode:395, reward: -9.356782843171763, mean reward: -10.32, score: -206.34139105922665, epsilon: 0.6078014173479724, total steps: 12638
episode:396, reward: -16.848573542108266, mean reward: -16.99, score: -203.88142471417711, epsilon: 0.6075783413991973, total steps: 12650
episode:397, reward: -8.863675316682622, mean reward: -9.36, score: -205.93134850061696, epsilon: 0.6071696005054833, total steps: 12672
episode:398, reward: -15.397811242473423, mean reward: -14.56, score: -203.80243701615183, epsilon: 0.6069096486853898, total steps: 12686
episode:399, reward: -6.644597552305931, mean reward: -1.3, score: -204.79745738185224, epsilon: 0.6040027678299222, total steps: 12843
episode:400, reward: -16.110020759644993, mean reward: -17.43, score: -209.1675686969332, epsilon: 0.6037812110371029, total steps: 12855
episode:401, reward: -7.7182399257105745, mean reward: -7.29, score: -204.24266348065012, epsilon: 0.6032645897009281, total steps: 12883
episode:402, reward: -11.430007758826072, mean reward: -13.02, score: -208.34987017489286, epsilon: 0.6029695939256201, total steps: 12899
episode:403, reward: -15.817068671503622, mean reward: -16.5, score: -214.56146356389272, epsilon: 0.6027300256784547, total steps: 12912
episode:404, reward: -13.43102362821069, mean reward: -12.48, score: -212.12240593859585, epsilon: 0.6024169007243529, total steps: 12929
episode:405, reward: -9.196144397768528, mean reward: -8.44, score: -202.6067602344164, epsilon: 0.6019751439300515, total steps: 12953
episode:406, reward: -11.837997870205799, mean reward: -12.39, score: -210.54910467778265, epsilon: 0.6016624466210961, total steps: 12970
episode:407, reward: -13.793555339085732, mean reward: -11.03, score: -209.54914672422217, epsilon: 0.601313171020518, total steps: 12989
episode:408, reward: -4.345092003390199, mean reward: -1.13, score: -200.1731288207209, epsilon: 0.5980700000736829, total steps: 13166
episode:409, reward: -7.793234703240854, mean reward: -8.12, score: -203.03038116822614, epsilon: 0.5976134653228542, total steps: 13191
episode:410, reward: -7.589057547524263, mean reward: -7.4, score: -207.2225411419281, epsilon: 0.5971025978637856, total steps: 13219
