episode:1, reward: -2.3697724123880315, mean reward: -1.97, score: -200.69837991094175, epsilon: 0.8963691086951295, total steps: 207
episode:2, reward: -11.981714496130328, mean reward: -8.0, score: -200.03440772983416, epsilon: 0.8959295232160738, total steps: 232
episode:3, reward: -100, mean reward: -17.39, score: -278.2166805612495, epsilon: 0.8956483083345697, total steps: 248
episode:4, reward: -10.220034849095994, mean reward: -5.5, score: -208.86562638315112, epsilon: 0.8949807976046816, total steps: 286
episode:5, reward: -103.743920119231, mean reward: -18.3, score: -128.06815528818663, epsilon: 0.8948578925840002, total steps: 293
episode:6, reward: -11.44880686892575, mean reward: -11.03, score: -209.51908380664636, epsilon: 0.8945243833488714, total steps: 312
episode:7, reward: -100, mean reward: -8.01, score: -184.15510139975913, epsilon: 0.8941208377839873, total steps: 335
episode:8, reward: -11.202385176173717, mean reward: -4.64, score: -204.219535569164, epsilon: 0.8933493747922105, total steps: 379
episode:9, reward: -4.576133272820536, mean reward: -6.27, score: -200.4965093619087, epsilon: 0.8927887536820852, total steps: 411
episode:10, reward: -4.658722341353387, mean reward: -5.42, score: -200.6069811146212, epsilon: 0.892141000078558, total steps: 448
episode:11, reward: -100, mean reward: -15.0, score: -239.92022949467332, epsilon: 0.8918610446271317, total steps: 464
episode:12, reward: -100, mean reward: -4.83, score: -125.46427712549355, epsilon: 0.8914063154980576, total steps: 490
episode:13, reward: -10.524289557155576, mean reward: -6.18, score: -210.13083200580724, epsilon: 0.8908120403046119, total steps: 524
episode:14, reward: -102.86848780770892, mean reward: -13.4, score: -120.56076724487997, epsilon: 0.890654802434817, total steps: 533
episode:15, reward: -106.02374955666065, mean reward: -31.02, score: -124.09492612281878, epsilon: 0.8905849283759731, total steps: 537
episode:16, reward: -11.642234289375311, mean reward: -11.67, score: -210.02933848090788, epsilon: 0.8902705669761604, total steps: 555
episode:17, reward: -4.59518225829234, mean reward: -5.64, score: -203.09240241288063, epsilon: 0.889642196826578, total steps: 591
episode:18, reward: -100, mean reward: -6.08, score: -152.10315296296324, epsilon: 0.8892061051574285, total steps: 616
episode:19, reward: -2.6758628010142544, mean reward: -2.78, score: -200.40078426820898, epsilon: 0.8879514262191867, total steps: 688
episode:20, reward: -4.021854625238146, mean reward: -4.22, score: -202.6417030803808, epsilon: 0.887116015902123, total steps: 736
episode:21, reward: -9.475332431099167, mean reward: -9.44, score: -207.65022206134617, epsilon: 0.8867333979055477, total steps: 758
episode:22, reward: -9.24736279296388, mean reward: -7.06, score: -204.87254755941842, epsilon: 0.886229305007121, total steps: 787
episode:23, reward: -6.945811285984133, mean reward: -6.73, score: -201.87250221982003, epsilon: 0.8857081491740202, total steps: 817
episode:24, reward: 15.299810783036103, mean reward: -1.96, score: -182.66131459694628, epsilon: 0.8840946292656444, total steps: 910
episode:25, reward: -8.460866352024201, mean reward: -8.52, score: -204.55925078871428, epsilon: 0.8836787429755472, total steps: 934
episode:26, reward: -100, mean reward: -8.06, score: -185.3713032889596, epsilon: 0.8832803798662052, total steps: 957
episode:27, reward: -98.16272389013196, mean reward: -4.34, score: -186.56474673039142, epsilon: 0.8825361245887287, total steps: 1000
episode:28, reward: -10.03554662584574, mean reward: -9.65, score: -202.66438559253447, epsilon: 0.8821728927113284, total steps: 1021
episode:29, reward: -100, mean reward: -6.08, score: -127.7674195578438, epsilon: 0.8818098193104109, total steps: 1042
episode:30, reward: -13.553172078875253, mean reward: -9.21, score: -202.56330916080321, epsilon: 0.8814296266004993, total steps: 1064
episode:31, reward: -106.66990216309729, mean reward: -16.2, score: -161.9796971304986, epsilon: 0.8812568691829148, total steps: 1074
episode:32, reward: -5.389563933235927, mean reward: -3.52, score: -204.097491077332, epsilon: 0.8802555837977796, total steps: 1132
episode:33, reward: -9.319375573733101, mean reward: -9.02, score: -207.46589362474012, epsilon: 0.8798588564028484, total steps: 1155
episode:34, reward: -2.7644799925072405, mean reward: -3.42, score: -202.0600800232809, epsilon: 0.8788420310412655, total steps: 1214
episode:35, reward: -6.658404485428182, mean reward: -7.6, score: -205.10288624071057, epsilon: 0.8783771198166765, total steps: 1241
episode:36, reward: -100, mean reward: -6.96, score: -208.86554985090925, epsilon: 0.8778608576318729, total steps: 1271
episode:37, reward: -111.9063723418632, mean reward: -31.92, score: -159.5944841583506, epsilon: 0.8777748452206389, total steps: 1276
episode:38, reward: -100, mean reward: -6.95, score: -180.59329281036938, epsilon: 0.8773277247167992, total steps: 1302
episode:39, reward: -8.35229547470332, mean reward: -8.43, score: -202.41503301684838, epsilon: 0.8769152124597307, total steps: 1326
episode:40, reward: -100, mean reward: -8.49, score: -246.25248981648386, epsilon: 0.8764170345607185, total steps: 1355
episode:41, reward: -2.5282304338122956, mean reward: -3.28, score: -200.27052157157985, epsilon: 0.8753701225133227, total steps: 1416
