episode:1, reward: -14.546365253923955, mean reward: -10.05, score: -201.01092064729642, epsilon: 0.898447134481164, total steps: 129
episode:2, reward: -7.752201578549676, mean reward: -3.86, score: -200.63776402379585, epsilon: 0.8978170935111687, total steps: 181
episode:3, reward: -3.235738515191107, mean reward: -4.22, score: -202.58161233465628, epsilon: 0.8972359324964524, total steps: 229
episode:4, reward: -5.204227342179355, mean reward: -5.32, score: -202.03392529868668, epsilon: 0.896776129233846, total steps: 267
episode:5, reward: -5.871220360993732, mean reward: -1.83, score: -205.39867269608922, epsilon: 0.8954223707226825, total steps: 379
episode:6, reward: -10.319191905916457, mean reward: -10.64, score: -202.21827434663746, epsilon: 0.8951929300761255, total steps: 398
episode:7, reward: -0.6488487781381684, mean reward: -2.29, score: -199.2739814604191, epsilon: 0.894143128517706, total steps: 485
episode:8, reward: -5.844916504207935, mean reward: -5.93, score: -201.67151496810715, epsilon: 0.8937332156993122, total steps: 519
episode:9, reward: -2.1733732649385304, mean reward: -1.79, score: -200.11647412257543, epsilon: 0.8923843219569512, total steps: 631
episode:10, reward: -3.7626953994894543, mean reward: -5.05, score: -201.88864445210604, epsilon: 0.8919030969932028, total steps: 671
episode:11, reward: -12.434788587663832, mean reward: -11.73, score: -211.15330936510708, epsilon: 0.8916866354573662, total steps: 689
episode:12, reward: -6.676244497250685, mean reward: -4.85, score: -203.78204045705644, epsilon: 0.89118177494939, total steps: 731
episode:10, reward: -2.097154103002915, mean reward: -1.82, score: -201.87685919576725, epsilon: 0.8890694602236597, total steps: 907
episode:11, reward: -12.563598595620503, mean reward: -8.7, score: -200.008748503314, epsilon: 0.8887938112601101, total steps: 930
episode:12, reward: -0.20772247074026762, mean reward: -1.03, score: -195.8883888615195, epsilon: 0.8865201722498086, total steps: 1120
episode:13, reward: -10.549016497581373, mean reward: -6.82, score: -204.7270534960267, epsilon: 0.8861617404168662, total steps: 1150
episode:14, reward: -6.37455370624198, mean reward: -6.56, score: -203.2241309636602, epsilon: 0.8857915222004802, total steps: 1181
episode:15, reward: -1.682798507277445, mean reward: -1.47, score: -199.60678881776025, epsilon: 0.8841692750791277, total steps: 1317
episode:16, reward: -6.833660351343748, mean reward: -10.61, score: -201.597596101727, epsilon: 0.8839428884297555, total steps: 1336
episode:17, reward: -0.6310946897415223, mean reward: -2.38, score: -200.1537214734569, epsilon: 0.882942757162416, total steps: 1420
episode:18, reward: -3.125685306164467, mean reward: -1.02, score: -196.00989221400198, epsilon: 0.8806612445333162, total steps: 1612
episode:19, reward: -11.317482521101072, mean reward: -11.48, score: -206.64869516286495, epsilon: 0.8804476733879031, total steps: 1630
episode:20, reward: -9.626864008735481, mean reward: -5.36, score: -209.03259742193043, epsilon: 0.8799851242633794, total steps: 1669
episode:21, reward: -3.477070371504718, mean reward: -1.92, score: -201.19659221023605, epsilon: 0.8787410798435575, total steps: 1774
episode:22, reward: -3.465146863838261, mean reward: -1.4, score: -202.70517425827433, epsilon: 0.8770261786533081, total steps: 1919
episode:23, reward: -3.501438551089319, mean reward: -7.48, score: -202.07249329353309, epsilon: 0.8767072443542537, total steps: 1946
episode:24, reward: -10.404513714165944, mean reward: -10.01, score: -210.23154456111433, epsilon: 0.8764592693790536, total steps: 1967
episode:25, reward: -4.785742941443967, mean reward: -2.13, score: -204.53337437356444, epsilon: 0.8753266163777749, total steps: 2063
episode:26, reward: -8.040500919190446, mean reward: -8.01, score: -200.16060419064988, epsilon: 0.8750319095012862, total steps: 2088
episode:27, reward: 0.822356469404403, mean reward: -1.12, score: -198.07543312876606, epsilon: 0.8729483926579524, total steps: 2265
episode:28, reward: -13.471570368333328, mean reward: -10.08, score: -201.59922193906527, epsilon: 0.8727132981322959, total steps: 2285
episode:29, reward: -4.482854087381464, mean reward: -8.71, score: -200.4072824762589, epsilon: 0.8724430224534884, total steps: 2308
episode:30, reward: -0.4303648894317784, mean reward: -2.25, score: -198.434076030483, epsilon: 0.8714097437079846, total steps: 2396
episode:31, reward: -4.522907295588713, mean reward: -3.0, score: -204.03029708908804, epsilon: 0.8706121902599194, total steps: 2464
episode:32, reward: -0.8059442750435543, mean reward: -4.78, score: -200.686122627048, epsilon: 0.8701199706264201, total steps: 2506
episode:33, reward: -9.173084202766917, mean reward: -5.29, score: -206.24174989031397, epsilon: 0.8696631739051167, total steps: 2545
episode:34, reward: -8.03235163342427, mean reward: -4.48, score: -201.41245708917643, epsilon: 0.8691364169119236, total steps: 2590
episode:35, reward: -5.985168661322701, mean reward: -6.77, score: -202.97489031035178, epsilon: 0.868785433663601, total steps: 2620
episode:36, reward: -8.678428251038907, mean reward: -5.42, score: -200.60627330960355, epsilon: 0.8683527614363982, total steps: 2657
episode:37, reward: -0.8506899834160997, mean reward: -1.28, score: -199.88929802250928, epsilon: 0.8665310345320052, total steps: 2813
episode:38, reward: 1.372684073186626, mean reward: -0.79, score: -196.5655300633851, epsilon: 0.863643300159653, total steps: 3061
episode:39, reward: -14.403442791210114, mean reward: -10.82, score: -205.61310446868947, epsilon: 0.8634224840902891, total steps: 3080
episode:40, reward: -7.3840680150227405, mean reward: -11.28, score: -203.0513058034368, epsilon: 0.8632133451991042, total steps: 3098
episode:41, reward: -6.308519527273645, mean reward: -3.06, score: -201.87912990842676, epsilon: 0.8624469625393738, total steps: 3164
episode:42, reward: -11.759166275413273, mean reward: -11.55, score: -207.8946967020356, epsilon: 0.8622380744643388, total steps: 3182
episode:43, reward: -98.87549998930754, mean reward: -2.57, score: -179.7972601260488, epsilon: 0.8614262423735725, total steps: 3252
episode:44, reward: -3.472059448345868, mean reward: -4.2, score: -201.60251600234443, epsilon: 0.8608700265317423, total steps: 3300
episode:45, reward: -99.79837218846046, mean reward: -4.39, score: -210.50604539706634, epsilon: 0.8603141919643232, total steps: 3348
episode:46, reward: -11.91666114486417, mean reward: -11.2, score: -201.658223242582, epsilon: 0.8601058522455014, total steps: 3366
episode:47, reward: -5.244769760691176, mean reward: -4.96, score: -203.24116651167813, epsilon: 0.8596315006057275, total steps: 3407
episode:48, reward: -5.8951572371076475, mean reward: -10.13, score: -202.63039412449837, epsilon: 0.8594002103628767, total steps: 3427
