episode:1, reward: -1, mean reward: -1.0, score: -1001, epsilon: 0.8710929753303831, total steps: 1039
episode:2, reward: -1001, mean reward: -9.26, score: -1121, epsilon: 0.8677879033721797, total steps: 1160
episode:3, reward: -1001, mean reward: -21.83, score: -1048, epsilon: 0.8664804889372473, total steps: 1208
episode:4, reward: -1001, mean reward: -2.92, score: -1522, epsilon: 0.8523966134805968, total steps: 1730
episode:5, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.8518351323924683, total steps: 1751
episode:6, reward: -1001, mean reward: -32.25, score: -1032, epsilon: 0.8509802975775353, total steps: 1783
episode:7, reward: -1001, mean reward: -7.94, score: -1144, epsilon: 0.8471448046962219, total steps: 1927
episode:8, reward: -1001, mean reward: -19.87, score: -1053, epsilon: 0.8457377587977644, total steps: 1980
episode:9, reward: -1001, mean reward: -3.47, score: -1405, epsilon: 0.8350674854533535, total steps: 2385
episode:10, reward: -1001, mean reward: -56.56, score: -1018, epsilon: 0.8345965862459707, total steps: 2403
episode:11, reward: -1001, mean reward: -18.54, score: -1057, epsilon: 0.8331072680324427, total steps: 2460
episode:12, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.8327419032324449, total steps: 2474
episode:13, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.832324552187559, total steps: 2490
episode:14, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.8319334876857378, total steps: 2505
episode:15, reward: -1001, mean reward: -36.71, score: -1028, epsilon: 0.8312040235667738, total steps: 2533
episode:16, reward: -1001, mean reward: -23.22, score: -1045, epsilon: 0.8300330959466875, total steps: 2578
episode:17, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.8296691654256386, total steps: 2592
episode:18, reward: -1001, mean reward: -13.5, score: -1080, epsilon: 0.8275928173457052, total steps: 2672
episode:19, reward: -1001, mean reward: -17.67, score: -1060, epsilon: 0.8260391858603763, total steps: 2732
episode:20, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.8256512632561789, total steps: 2747
episode:21, reward: -1001, mean reward: -19.87, score: -1053, epsilon: 0.8242821557588103, total steps: 2800
episode:22, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.8238951114500714, total steps: 2815
episode:23, reward: -1001, mean reward: -33.26, score: -1031, epsilon: 0.8230958328666289, total steps: 2846
episode:24, reward: -1001, mean reward: -7.37, score: -1157, epsilon: 0.8190605329193097, total steps: 3003
episode:25, reward: -1001, mean reward: -77.92, score: -1013, epsilon: 0.8187273455508549, total steps: 3016
episode:26, reward: -1001, mean reward: -91.91, score: -1011, epsilon: 0.8184455305267313, total steps: 3027
episode:27, reward: -1001, mean reward: -91.91, score: -1011, epsilon: 0.8181638188158414, total steps: 3038
episode:28, reward: -1001, mean reward: -34.33, score: -1030, epsilon: 0.8173960389509397, total steps: 3068
episode:29, reward: -1001, mean reward: -101.0, score: -1010, epsilon: 0.817140282899666, total steps: 3078
episode:30, reward: -1001, mean reward: -143.86, score: -1007, epsilon: 0.8169613043819618, total steps: 3085
episode:31, reward: -1001, mean reward: -72.43, score: -1014, epsilon: 0.8166034726071585, total steps: 3099
episode:32, reward: -1001, mean reward: -11.99, score: -1091, epsilon: 0.8142816319788289, total steps: 3190
episode:33, reward: -1001, mean reward: -24.26, score: -1043, epsilon: 0.8131869463517728, total steps: 3233
episode:34, reward: -1001, mean reward: -84.33, score: -1012, epsilon: 0.8128817326200479, total steps: 3245
episode:35, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.8124749708420999, total steps: 3261
episode:36, reward: -1001, mean reward: -56.56, score: -1018, epsilon: 0.8120176230776444, total steps: 3279
episode:37, reward: -1001, mean reward: -48.62, score: -1021, epsilon: 0.8114843973922533, total steps: 3300
episode:38, reward: -1001, mean reward: -27.32, score: -1038, epsilon: 0.8105204611107498, total steps: 3338
episode:39, reward: -1001, mean reward: -44.48, score: -1023, epsilon: 0.8099376188753037, total steps: 3361
episode:40, reward: -1001, mean reward: -11.2, score: -1098, epsilon: 0.807459206264859, total steps: 3459
episode:41, reward: -1001, mean reward: -14.7, score: -1073, epsilon: 0.805618296211865, total steps: 3532
episode:42, reward: -1001, mean reward: -16.87, score: -1063, epsilon: 0.8040331627624785, total steps: 3595
episode:43, reward: -1001, mean reward: -41.0, score: -1025, epsilon: 0.8034050635378683, total steps: 3620
episode:44, reward: -1001, mean reward: -46.45, score: -1022, epsilon: 0.8028527690240133, total steps: 3642
episode:45, reward: -1001, mean reward: -39.46, score: -1026, epsilon: 0.8022005792805702, total steps: 3668
episode:46, reward: -1001, mean reward: -67.67, score: -1015, epsilon: 0.8018245730003334, total steps: 3683
episode:47, reward: -1001, mean reward: -63.5, score: -1016, epsilon: 0.8014237068018882, total steps: 3699
episode:48, reward: -1001, mean reward: -14.51, score: -1074, epsilon: 0.7995724791112362, total steps: 3773
episode:49, reward: -1001, mean reward: -30.41, score: -1034, epsilon: 0.7987234448452057, total steps: 3807
episode:50, reward: -1001, mean reward: -44.48, score: -1023, epsilon: 0.7981496435227703, total steps: 3830
episode:51, reward: -1001, mean reward: -167.67, score: -1006, epsilon: 0.7980000285560611, total steps: 3836
episode:52, reward: -1001, mean reward: -39.46, score: -1026, epsilon: 0.7973520426990764, total steps: 3862
episode:53, reward: -1001, mean reward: -126.0, score: -1008, epsilon: 0.7971527753911785, total steps: 3870
episode:54, reward: -1001, mean reward: -101.0, score: -1010, epsilon: 0.796903765969924, total steps: 3880
episode:55, reward: -1001, mean reward: -27.32, score: -1038, epsilon: 0.7959582867962528, total steps: 3918
episode:56, reward: -1001, mean reward: -28.78, score: -1036, epsilon: 0.7950636737272923, total steps: 3954
episode:57, reward: -1001, mean reward: -44.48, score: -1023, epsilon: 0.7944926771540893, total steps: 3977
episode:58, reward: -1001, mean reward: -29.57, score: -1035, epsilon: 0.7936246088357234, total steps: 4012
